# File: region.txt

# This file holds templates for wilderness regions.

# The complete Middle-Earth map is currently 588 miles high by 882 miles wide. 
# y and x coordinates are for the top left of the region as shown in the D:
# lines (so in particular, that does include spaces).
# Each grid represents 1 square mile.
# Each square mile contains 10x10 portions of wilderness of 22x22 game grids.
# 3 of these 22x22 portions side by side makes up a world_chunk.

# N:region index:region name
# I:difficulty:height:width:y:x
# D:Map of the region using the following legend:
# + Forest
# - Lake
# ~ Ocean
# . Plain
# , Moor/Waste
# ^ Mountain
# _ Swamp
# | Dark Forest
# X Impassable Mountain
# W Impassable Water (Ocean)
# / Desert
# * Snow
# = Town
# & Landmark

N:1:Helcaraxë
I:2:24:48:0:0
D:************************************************
D:***********************************************
D:**********************************************
D:*********************************************
D:********************************************
D:*******************************************
D:******************************************
D:****************************************
D:**************************************
D:************************************
D:**********************************
D:********************************
D:******************************
D:****************************
D:***************************
D:**************************
D:*************************
D:************************
D:***********************
D:**********************
D:*********************
D:**************   ****
D:           ............................
D:          ............................
D:         ............................
D:        ............................
D:      .............................
D:     .............................
D:    ..............................
D:   ...............................
D:  ................................
D: .................................
D:..................................
D:      ............................
D:       ...........................
D:        ..........................
D:         ........................
D:          ......................
D:           ......................
D:            .....................
D:            ......................
D:            ......................
D:            ......................
D:            ......................
D:            ......................
D:            ........................
D:            .......................
D:            ......................
D:            ......................
D:            ......................
D:            .......................
D:            .......................
D:            ......................
D:            ......................
D:            .......................
D:            .......................
D:            .......................
D:            ........................
D:            ........................
D:            ........................
D:            .....................
D:            ..........
D:            ........
D:            ......
D:            ....
D:            ...
D:            ..
D:            .

N:29:Fen of Serech
I:2:5:17:105:324
D:_________________
D:  ______________
D:    _________
D:      _____
D:        _

N:30:Anfauglith
I:2:85:451:21:284
D://///////////////////////////////////////////////////////////////////////                                                                             /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D: ///////////////////////////////////////////////////////////////////////////                                                                       ////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:  //////////////////////////////////////////////////////////////////////////////                                                               ////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:   ////////////////////////////////////////////////////////////////////////////////                                                         ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:    //////////////////////////////////////////////////////////////////////////////////                                                    /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:     ///////////////////////////////////////////////////////////////////////////////////                                                ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:      ////////////////////////////////////////////////////////////////////////////////////                                            /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:       ////////////////////////////////////////////////////////////////////////////////////                                        ////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:        ////////////////////////////////////////////////////////////////////////////////////                                     //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:         //////////////////////////////////////////////////////////////////////////////////                                       /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:          //////////////////////////////////////////////////////////////////////////////                                          /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:           //////////////////////////////////////////////////////////////////////////                                              ////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:            /////////////////////////////////////////////////////////////////                                                      ////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:             ////////////////////////////////////////////////////////////        ////////                                          ////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:              ///////////////////////////////////////////////////////////   ////////////////                                       ////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:               ///////////////////////////////////////////////////////////////////////////////                                    /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                //////////////////////////////////////////////////////////////////////////////                                    /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                 /////////////////////////////////////////////////////////////////////////////////                        /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                  /////////////////////////////////////////////////////////////////////////////////                      //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                   ////////////////////////////////////////////////////////////////////////////////////                 ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                    /////////////////////////////////////////////////////////////////////////////////////             /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                     //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                      //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                        /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                          /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                            /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                              /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                  ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                   //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                   //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                   //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                   //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                   //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                   //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                   //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                   //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                   //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                  ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                 ////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                               /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                              /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                             /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                              ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                               /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                 /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                   /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                   ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                   /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                   ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                   /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                  ////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                 ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                                //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                               /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                               //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                               //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                               ////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                               //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                              /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                             ////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                            ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
D:                           //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////     ///////////////////////////////////////////////////////////////
D:                          ////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////           //////////////////////////////////////////////////////////
D:                         //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////                 /////////////////////////////////////////////////////
D:                          //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////                       ////////////////////////////////////////////////
D:                          ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////                             ///////////////////////////////////////////
D:                           ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////                                  ///////////////////////////////////////
D:                           ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////                                        ///////////////////////////////////
D:                            //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////                                              ///////////////////////////////
D:                            //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////                                                    //////////////////////////
D:                             ////////////////////////////////////////////////////////////////////////////////////////                                                                                               /////////////////////
D:                             //////////////////////////////////////////////////////////////////////////////////////                                                                                                   ////////////////
D:                              ///////////////////////////////////////////////////////////////////////////////////                                                                                                      ////////////
D:                              /////////////////////////////////////////////////////////////////////////////                                                                                                             ////////
D:                               /////////////////////////////////////////////////////////////////////                                                                                                                     ////
D:                               /////////////////////////////////////////////////////////////////
D:                                ////////////////////////////////////////////////////////////
D:                                 ///////////////////////////////////////////////////////
D:                                  //////////////////////////////////////////////////
D:                                   /////////////////////////////////////////////
D:                                    //////////////////////////////////////
D:                                      ////////////////////////////////
D:                                                         //

N:31:Crissaegrim
I:2:48:57:126:314
D:             XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:             XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:            XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:           XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:           XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:           XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:           XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:          XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:         XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:        XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:      XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:     XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:   XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:  XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:  XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:  XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:  XXXXXXXXXXXXX            XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:  XXXXXXXXXXX                XXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:  XXXXXXXXXX                  XXXXXXXXXXXXXXXXXXXXXXXXXXX
D:  XXXXXXXXX                    XXXXXXXXXXXXXXXXXXXXXXXXXX
D:  XXXXXXXXX                    XXXXXXXXXXXXXXXXXXXXXXXXXX
D:  XXXXXXXXX                     XXXXXXXXXXXXXXXXXXXXXXXXX
D: XXXXXXXXXX                     XXXXXXXXXXXXXXXXXXXXXXXXX
D:XXXXXXXXXXX                     XXXXXXXXXXXXXXXXXXXXXXXXX
D: XXXXXXXXXX                     XXXXXXXXXXXXXXXXXXXXXXXXX
D: XXXXXXXXXX                     XXXXXXXXXXXXXXXXXXXXXXXXX
D:  XXXXXXXXX                    XXXXXXXXXXXXXXXXXXXXXXXXXX
D:  XXXXXXXXX                   XXXXXXXXXXXXXXXXXXXXXXXXXXX
D:  XXXXXXXXXX                 XXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:  XXXXXXXXXX               XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:  XXXXXXXXXXX            XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:    XXXXXXXXX         XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:   XXXXXXXXXX      XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:  XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:  XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:  XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:   XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:           XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:                  XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
D:                       XXXXXXXX
D:                        XXXXXXXX
D:                         XXXXXXXX
D:                         XXXXXXXX
D:                          XXXXXXXX
D:                           XXXXXX
D:                            XXXX

N:32:Tumladen
I:2:17:21:144:325
D:    ............
D:  ................
D: ..................
D:....................
D:....................
D:.....................
D:.....................
D:.....................
D:.....................
D:.....................
D:....................
D:...................
D: .................
D: ...............
D:  ............
D:  .........
D:  ......

N:33:Taur-Nu-Fuin
I:2:68:149:93:327
D:                                                                          |||||||||||||||||||
D:                                                                        |||||||||||||||||||||
D:                                                                      |||||||||||||||||||||||
D:                                                                |||||||||||||||||||||||||||||
D:                                                         ||||||||||||||||||||||||||||||||||||
D:                                                     |||||||||||||||||||||||||||||||||||||||||
D:                                                 ||||||||||||||||||||||||||||||||||||||||||||||
D:                                             |||||||||||||||||||||||||||||||||||||||||||||||||||
D:                                         ||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                                     |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                               ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                           |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                  ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                  ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                 ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:               |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:              |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:             |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:            |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:           |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:          |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:         |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:        |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:       |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:      |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:     ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:    ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:   |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:  |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D: ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                                     ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                                      |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                                       |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                                        ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                                         ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                                          |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                                           |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                                            ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||                  ||||||||||||||||
D:                                            |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||                             |||||||||||
D:                                            |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||                                     |||||||
D:                                            ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                                            |||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                                            ||||||||||||||||||||||||||||||||||||||||||||||||||||
D:                                            ||||||||||||||||||||||||||||||||||||||||||||||||||
D:                                            ||||||||||||||||||||||||||||||||||||||||||||||||
D:                                            ||||||||||||||||||||||||||||||||||||||||||||||
D:                                            ||||||||||||||||||||||||||||||||||||||||||||
D:                                            |||||||||||||||||||||||||||||||||||||||||||
D:                                            |||||||||||||||||||||||||||||||||||||||||
D:                                            |||||||||||||||||||||||||||||||||||||||
D:                                            |||||||||||||||||||||||||||||||||||||
D:                                            |||||||||||||||||||||||||||||||||||
D:                                            |||||||||||||||||||||||||||||||||
D:                                            |||||||||||||||||||||||||||||||
D:                                            |||||||||||||||||||||||||||||
D:                                            |||||||||||||||||||||||||||
D:                                            ||||||||||||||||||||||||
D:                                            |||||||||||||||||||||
D:                                            ||||||||||||||||||
D:                                            |||||||||||||||
D:                                            ||||||||||||
D:                                            ||||||||||
D:                                            |||||||||
D:                                            ||||||||
D:                                            |||||||

N:34:Isle of Balar
I:2:53:85:512:185
D:                                                                           ,,,,,,,,,,
D:                                                                       ,,,,,,,,,,,,,,
D:                                                                   ,,,,,,,,,,,,,,,,,
D:                                                                ,,,,,,,,,,,,,,,,,,,,
D:                                                              ,,,,,,,,,,,,,,,,,,,,,,
D:                                                            ,,,,,,,,,,,,,,,,,,,,,,,,
D:                                                          ,,,,,,,,,,,,,,,,,,,,,,,,,,
D:                                                          ,,,,,,,,,,,,,,,,,,,,,,,,,
D:                                                          ,,,,,,,,,,,,,,,,,,,,,,,,
D:                                        ,,,               ,,,,,,,,,,,,,,,,,,,,,,
D:                                      ,,,,,               ,,,,,,,,,,,,,,,,,,,,
D:                                    ,,,,,,,                ,,,,,,,,,,,,,,,,,
D:                                  ,,,,,,,,                  ,,,,,,,,,,,
D:                                .........
D:                              ...........
D:                            .............
D:                          ...............
D:                        .................
D:                      ..................
D:                    ....................
D:                  .....................
D:               .......................
D:              .......................
D:             .......................
D:           ........................
D:          ........................
D:         ........................
D:        ,,,,,,^^^^^^^+++++++....
D:       ,,,,,,,^^^^^^^+++++++...
D:      ,,,,,,,^^^^^^^+++++++...
D:      ,,,,,,,^^^^^^^+++++++..
D:      ,,,,,,,^^^^^^^+++++++.
D:      ,,,,,,^^^^^^^+++++...
D:      ,,,,,,,^^^^^^^++++..
D:      ,,,,,,,^^^^^^^^^...
D:      ,,,,,,,^^^^^^^^...
D:      ,,,,,,,^^^^^^^...
D:      ,,,,,,,^^^^^^...
D:      ,,,,,,,^^^^^....
D:      ,,,,,,,^^^^.....
D:     ,,,,,,,^^^......
D:    ,,,,,,,^^^.......
D:   ,,,,,,,^^........
D:   ,,,,,,,^........
D:   ,,,,,,,.........
D:   ,,,,,,,........
D:  ,,,,,,,........
D: ,,,,,,,.......
D:,,,,,,,....
D:,,,,,,,...
D:,,,,,,,..
D: ,,,,
D: ,,

N:35:Nan Dungortheb
I:2:36:102:167:360
D:           |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:          |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:         ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:        ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
D:       ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
